step,k,mom_prob
0,11.6958,4.730370000000001e-18
0,11.8007,4.1905200000000004e-18
0,11.9056,3.720310000000001e-18
0,12.0105,3.3098400000000004e-18
0,12.1154,2.9502300000000003e-18
0,12.2203,2.6344500000000003e-18
0,12.3251,2.3570100000000004e-18
0,12.43,2.1128500000000003e-18
0,12.5349,1.8971800000000003e-18
0,12.6398,1.7061700000000002e-18
0,12.7447,1.5370600000000002e-18
0,12.8496,1.3871600000000001e-18
0,12.9545,1.2537600000000001e-18
0,13.0594,1.13472e-18
0,13.1643,1.02855e-18
0,13.2692,9.338850000000001e-19
0,13.3741,8.490500000000001e-19
0,13.479,7.72822e-19
0,13.5839,7.04386e-19
0,13.6888,6.42997e-19
0,13.7937,5.87691e-19
0,13.8986,5.37681e-19
0,14.0035,4.92498e-19
0,14.1084,4.51755e-19
0,14.2133,4.14847e-19
0,14.3181,3.8129500000000003e-19
0,14.423,3.5079500000000003e-19
0,14.5279,3.23139e-19
0,14.6328,2.97997e-19
0,14.7377,2.75011e-19
0,14.8426,2.54028e-19
0,14.9475,2.34872e-19
0,15.0524,2.17411e-19
0,15.1573,2.01381e-19
0,15.2622,1.86634e-19
0,15.3671,1.73136e-19
0,15.472,1.60791e-19
0,15.5769,1.49399e-19
0,15.6818,1.38863e-19
5,-15.6818,1.08775e-19
5,-15.5769,1.01298e-19
5,-15.472,9.388959999999999e-20
5,-15.3671,8.737359999999999e-20
5,-15.2622,8.189539999999999e-20
5,-15.1573,7.6624e-20
5,-15.0524,7.12463e-20
5,-14.9475,6.64165e-20
5,-14.8426,6.244479999999999e-20
5,-14.7377,5.869719999999999e-20
5,-14.6328,5.475649999999999e-20
5,-14.5279,5.11049e-20
5,-14.423,4.8159499999999994e-20
5,-14.3181,4.5479799999999993e-20
5,-14.2133,4.25734e-20
5,-14.1084,3.9768599999999996e-20
5,-14.0035,3.7531e-20
5,-13.8986,3.55993e-20
5,-13.7937,3.3469099999999994e-20
5,-13.6888,3.1285e-20
5,-13.5839,2.95318e-20
5,-13.479,2.81303e-20
5,-13.3741,2.6579399999999996e-20
5,-13.2692,2.48684e-20
5,-13.1643,2.3461699999999996e-20
5,-13.0594,2.2419899999999997e-20
5,-12.9545,2.1308e-20
5,-12.8496,1.9979799999999998e-20
5,-12.7447,1.8814299999999998e-20
5,-12.6398,1.80186e-20
5,-12.5349,1.7228199999999997e-20
5,-12.43,1.62037e-20
5,-12.3251,1.5213199999999998e-20
5,-12.2203,1.4562899999999997e-20
5,-12.1154,1.40154e-20
5,-12.0105,1.3238199999999999e-20
5,-11.9056,1.23874e-20
5,-11.8007,1.1818499999999998e-20
5,-11.6958,1.1428499999999999e-20
5,-11.5909,1.0853699999999999e-20
5,-11.486,1.01217e-20
5,-11.3811,9.594389999999999e-21
5,-11.2762,9.302e-21
5,-11.1713,8.89334e-21
5,-11.0664,8.268329999999999e-21
5,-10.9615,7.76893e-21
5,-10.8566,7.54421e-21
5,-10.7517,7.278829999999999e-21
5,-10.6468,6.77875e-21
5,-10.5419,6.34568e-21
5,-10.437,6.21581e-21
5,-10.3321,6.1273899999999995e-21
5,-10.2272,5.81678e-21
5,-10.1224,5.55054e-21
5,-10.0175,5.6501899999999994e-21
5,-9.91257,5.89103e-21
5,-9.80767,5.94205e-21
5,-9.70278,6.0858999999999996e-21
5,-9.59788,6.74302e-21
5,-9.49299,7.69878e-21
5,-9.38809,8.52301e-21
5,-9.2832,9.554599999999999e-21
5,-9.1783,1.1421199999999999e-20
5,-9.07341,1.39131e-20
5,-8.96851,1.6378899999999998e-20
5,-8.86362,1.92093e-20
5,-8.75872,2.3465699999999997e-20
5,-8.65383,2.9009199999999996e-20
5,-8.54893,3.4755199999999997e-20
5,-8.44404,4.1045e-20
5,-8.33914,4.96446e-20
5,-8.23425,6.076469999999999e-20
5,-8.12935,7.26309e-20
5,-8.02446,8.515679999999999e-20
5,-7.91956,1.01069e-19
5,-7.81467,1.21498e-19
5,-7.70977,1.43851e-19
5,-7.60488,1.66831e-19
5,-7.49998,1.9409300000000001e-19
5,-7.39509,2.2862200000000003e-19
5,-7.29019,2.67193e-19
5,-7.1853,3.06206e-19
5,-7.0804,3.49558e-19
5,-6.97551,4.0303100000000003e-19
5,-6.87061,4.63714e-19
5,-6.76572,5.2461e-19
5,-6.66082,5.88194e-19
5,-6.55593,6.63518e-19
5,-6.45103,7.49692e-19
5,-6.34614,8.36013e-19
5,-6.24124,9.210340000000001e-19
5,-6.13635,1.01622e-18
5,-6.03146,1.1249500000000001e-18
5,-5.92656,1.2342e-18
5,-5.82167,1.3359800000000002e-18
5,-5.71677,1.4416500000000001e-18
5,-5.61188,1.5607800000000001e-18
5,-5.50698,1.6810600000000001e-18
5,-5.40209,1.78735e-18
5,-5.29719,1.8871100000000003e-18
5,-5.1923,1.9956500000000002e-18
5,-5.0874,2.1062200000000003e-18
5,-4.98251,2.19883e-18
5,-4.87761,2.2734100000000003e-18
5,-4.77272,2.34818e-18
5,-4.66782,2.4256e-18
5,-4.56293,2.48621e-18
5,-4.45803,2.52132e-18
5,-4.35314,2.54701e-18
5,-4.24824,2.5753100000000002e-18
5,-4.14335,2.5935200000000004e-18
5,-4.03845,2.5869100000000002e-18
5,-3.93356,2.5644200000000003e-18
5,-3.82866,2.5437e-18
5,-3.72377,2.5227500000000003e-18
5,-3.61887,2.4861700000000003e-18
5,-3.51398,2.43352e-18
5,-3.40908,2.3815500000000002e-18
5,-3.30419,2.33833e-18
5,-3.19929,2.2936e-18
5,-3.0944,2.2393200000000003e-18
5,-2.9895,2.1853700000000003e-18
5,-2.88461,2.14545e-18
5,-2.77971,2.11781e-18
5,-2.67482,2.0916800000000003e-18
5,-2.56992,2.06772e-18
5,-2.46503,2.05904e-18
5,-2.36013,2.0723700000000002e-18
5,-2.25524,2.0999e-18
5,-2.15034,2.13459e-18
5,-2.04545,2.1840100000000002e-18
5,-1.94056,2.26051e-18
5,-1.83566,2.36337e-18
5,-1.73077,2.48226e-18
5,-1.62587,2.6169300000000003e-18
5,-1.52098,2.7811200000000004e-18
5,-1.41608,2.9830600000000002e-18
5,-1.31119,3.21444e-18
5,-1.20629,3.4676900000000003e-18
5,-1.1014,3.754130000000001e-18
5,-0.996501,4.0908300000000006e-18
5,-0.891606,4.476180000000001e-18
5,-0.786712,4.89801e-18
5,-0.681817,5.36307e-18
5,-0.576922,5.89599e-18
5,-0.472027,6.5061800000000006e-18
5,-0.367132,7.180990000000001e-18
5,-0.262237,7.92215e-18
5,-0.157342,8.761950000000001e-18
5,-0.0524474,9.72534e-18
5,0.0524474,1.08048e-17
5,0.157342,1.20003e-17
5,0.262237,1.33553e-17
5,0.367132,1.49186e-17
5,0.472027,1.66981e-17
5,0.576922,1.87025e-17
5,0.681817,2.10014e-17
5,0.786712,2.36888e-17
5,0.891606,2.68153e-17
5,0.996501,3.04321e-17
5,1.1014,3.46836e-17
5,1.20629,3.97775e-17
5,1.31119,4.58919e-17
5,1.41608,5.3234e-17
5,1.52098,6.21887e-17
5,1.62587,7.33029e-17
5,1.73077,8.71747e-17
5,1.83566,1.04567e-16
5,1.94056,1.26674e-16
5,2.04545,1.55162e-16
5,2.15034,1.92088e-16
5,2.25524,2.40201e-16
5,2.36013,3.03519e-16
5,2.46503,3.87599e-16
5,2.56992,4.99729e-16
5,2.67482,6.49861e-16
5,2.77971,8.52153e-16
5,2.88461,1.12622e-15
5,2.9895,1.4986e-15
5,3.0944,2.006e-15
5,3.19929,2.70018e-15
5,3.30419,3.65334e-15
5,3.40908,4.96499e-15
5,3.51398,6.77401e-15
5,3.61887,9.27619e-15
5,3.72377,1.27458e-14
5,3.82866,1.75648e-14
5,3.93356,2.42667e-14
5,4.03845,3.35984e-14
5,4.14335,4.65968e-14
5,4.24824,6.46434e-14
5,4.35314,9.00968e-14
5,4.45803,1.37105e-13
5,4.56293,8.31188e-14
5,4.66782,5.62863e-12
5,4.77272,5.092e-10
5,4.87761,2.49973e-08
5,4.98251,9.05828e-07
5,5.0874,2.31535e-05
5,5.1923,0.000415386
5,5.29719,0.00524086
5,5.40209,0.0465042
5,5.50698,0.290174
5,5.61188,1.27323
5,5.71677,3.92868
5,5.82167,8.5246
5,5.92656,13.0073
5,6.03146,13.9569
5,6.13635,10.5312
5,6.24124,5.588
5,6.34614,2.08507
5,6.45103,0.547109
5,6.55593,0.100952
5,6.66082,0.0130988
5,6.76572,0.00119524
5,6.87061,7.6707e-05
5,6.97551,3.45908e-06
5,7.0804,1.0955e-07
5,7.1853,2.49718e-09
5,7.29019,3.95316e-11
5,7.39509,7.95423e-14
5,7.49998,1.13005e-13
5,7.60488,7.26749e-14
5,7.70977,5.05596e-14
5,7.81467,3.63688e-14
5,7.91956,2.62269e-14
5,8.02446,1.89976e-14
5,8.12935,1.38296e-14
5,8.23425,1.01209e-14
5,8.33914,7.44802e-15
5,8.44404,5.5118e-15
5,8.54893,4.10146e-15
5,8.65383,3.06884e-15
5,8.75872,2.30903e-15
5,8.86362,1.7469e-15
5,8.96851,1.32853e-15
5,9.07341,1.01557e-15
5,9.1783,7.80414e-16
5,9.2832,6.02824e-16
5,9.38809,4.67899e-16
5,9.49299,3.64892e-16
5,9.59788,2.85982e-16
5,9.70278,2.25251e-16
5,9.80767,1.78218e-16
5,9.91257,1.41626e-16
5,10.0175,1.1309e-16
5,10.1224,9.07442e-17
5,10.2272,7.31266e-17
5,10.3321,5.91718e-17
5,10.437,4.81069e-17
5,10.5419,3.93027e-17
5,10.6468,3.22416e-17
5,10.7517,2.65502e-17
5,10.8566,2.19658e-17
5,10.9615,1.82632e-17
5,11.0664,1.52438e-17
5,11.1713,1.27676e-17
5,11.2762,1.07426e-17
5,11.3811,9.0842e-18
5,11.486,7.70962e-18
5,11.5909,6.5625e-18
5,11.6958,5.61062e-18
5,11.8007,4.82087e-18
5,11.9056,4.15597e-18
5,12.0105,3.59121e-18
5,12.1154,3.11581e-18
5,12.2203,2.7169100000000003e-18
5,12.3251,2.37601e-18
5,12.43,2.0812400000000003e-18
5,12.5349,1.82964e-18
5,12.6398,1.6165300000000002e-18
5,12.7447,1.43193e-18
5,12.8496,1.2693700000000002e-18
5,12.9545,1.1287400000000001e-18
5,13.0594,1.00874e-18
5,13.1643,9.03627e-19
5,13.2692,8.09337e-19
5,13.3741,7.26735e-19
5,13.479,6.5583700000000005e-19
5,13.5839,5.93221e-19
5,13.6888,5.36062e-19
5,13.7937,4.852100000000001e-19
5,13.8986,4.41483e-19
5,14.0035,4.02683e-19
5,14.1084,3.66622e-19
5,14.2133,3.34082e-19
5,14.3181,3.06041e-19
5,14.423,2.8114e-19
5,14.5279,2.57661e-19
5,14.6328,2.36068e-19
5,14.7377,2.1745e-19
5,14.8426,2.01011e-19
5,14.9475,1.85286e-19
5,15.0524,1.70521e-19
5,15.1573,1.5776000000000002e-19
5,15.2622,1.46615e-19
5,15.3671,1.35854e-19
5,15.472,1.25504e-19
5,15.5769,1.16505e-19
5,15.6818,1.08776e-19
10,-15.6818,1.57354e-19
10,-15.5769,1.52432e-19
10,-15.472,1.41063e-19
10,-15.3671,1.2582500000000001e-19
10,-15.2622,1.17647e-19
10,-15.1573,1.15268e-19
10,-15.0524,1.08261e-19
10,-14.9475,9.637900000000001e-20
10,-14.8426,8.921859999999999e-20
10,-14.7377,8.817159999999999e-20
10,-14.6328,8.438069999999999e-20
10,-14.5279,7.52187e-20
10,-14.423,6.858309999999999e-20
10,-14.3181,6.801379999999999e-20
10,-14.2133,6.65451e-20
10,-14.1084,5.97369e-20
10,-14.0035,5.344649999999999e-20
10,-13.8986,5.27373e-20
10,-13.7937,5.2869399999999995e-20
10,-13.6888,4.82004e-20
10,-13.5839,4.22585e-20
10,-13.479,4.1003e-20
10,-13.3741,4.2065899999999997e-20
10,-13.2692,3.93386e-20
10,-13.1643,3.39431e-20
10,-13.0594,3.1909499999999996e-20
10,-12.9545,3.32784e-20
10,-12.8496,3.22636e-20
10,-12.7447,2.76836e-20
10,-12.6398,2.4864799999999997e-20
10,-12.5349,2.5968199999999997e-20
10,-12.43,2.63179e-20
10,-12.3251,2.2846299999999997e-20
10,-12.2203,1.9430299999999998e-20
10,-12.1154,1.9817899999999997e-20
10,-12.0105,2.1058699999999997e-20
10,-11.9056,1.89032e-20
10,-11.8007,1.5274399999999998e-20
10,-11.6958,1.4683299999999998e-20
10,-11.5909,1.62589e-20
10,-11.486,1.54533e-20
10,-11.3811,1.2096799999999998e-20
10,-11.2762,1.05399e-20
10,-11.1713,1.1920399999999999e-20
10,-11.0664,1.2267099999999999e-20
10,-10.9615,9.63777e-21
10,-10.8566,7.41179e-21
10,-10.7517,8.2266e-21
10,-10.6468,9.387119999999999e-21
10,-10.5419,7.76362e-21
10,-10.437,5.32592e-21
10,-10.3321,5.5236e-21
10,-10.2272,7.167709999999999e-21
10,-10.1224,6.6297699999999995e-21
10,-10.0175,4.36966e-21
10,-9.91257,4.12679e-21
10,-9.80767,6.20339e-21
10,-9.70278,6.839439999999999e-21
10,-9.59788,4.9616599999999995e-21
10,-9.49299,4.3529e-21
10,-9.38809,7.07276e-21
10,-9.2832,9.489089999999999e-21
10,-9.1783,8.418549999999999e-21
10,-9.07341,7.13024e-21
10,-8.96851,1.04048e-20
10,-8.86362,1.6066799999999998e-20
10,-8.75872,1.7783199999999997e-20
10,-8.65383,1.5958599999999998e-20
10,-8.54893,1.87062e-20
10,-8.44404,2.91859e-20
10,-8.33914,3.89456e-20
10,-8.23425,4.0549099999999997e-20
10,-8.12935,4.1869099999999996e-20
10,-8.02446,5.688029999999999e-20
10,-7.91956,8.28027e-20
10,-7.81467,1.00809e-19
10,-7.70977,1.06372e-19
10,-7.60488,1.23398e-19
10,-7.49998,1.70783e-19
10,-7.39509,2.27432e-19
10,-7.29019,2.5976100000000003e-19
10,-7.1853,2.81254e-19
10,-7.0804,3.43701e-19
10,-6.97551,4.54805e-19
10,-6.87061,5.52471e-19
10,-6.76572,5.99919e-19
10,-6.66082,6.59631e-19
10,-6.55593,8.04434e-19
10,-6.45103,9.87953e-19
10,-6.34614,1.10041e-18
10,-6.24124,1.14802e-18
10,-6.13635,1.2587700000000002e-18
10,-6.03146,1.4747200000000002e-18
10,-5.92656,1.66312e-18
10,-5.82167,1.71607e-18
10,-5.71677,1.7283700000000002e-18
10,-5.61188,1.8499200000000003e-18
10,-5.50698,2.0381800000000002e-18
10,-5.40209,2.1155200000000003e-18
10,-5.29719,2.0457e-18
10,-5.1923,1.98779e-18
10,-5.0874,2.0466300000000003e-18
10,-4.98251,2.1175e-18
10,-4.87761,2.056e-18
10,-4.77272,1.89548e-18
10,-4.66782,1.7892e-18
10,-4.56293,1.7895200000000002e-18
10,-4.45803,1.7927100000000002e-18
10,-4.35314,1.70312e-18
10,-4.24824,1.5651e-18
10,-4.14335,1.4946200000000002e-18
10,-4.03845,1.5264100000000001e-18
10,-3.93356,1.57997e-18
10,-3.82866,1.57291e-18
10,-3.72377,1.5276400000000002e-18
10,-3.61887,1.5390200000000001e-18
10,-3.51398,1.6475100000000002e-18
10,-3.40908,1.78165e-18
10,-3.30419,1.84972e-18
10,-3.19929,1.86378e-18
10,-3.0944,1.9243300000000002e-18
10,-2.9895,2.07721e-18
10,-2.88461,2.2416e-18
10,-2.77971,2.32035e-18
10,-2.67482,2.3417900000000004e-18
10,-2.56992,2.42291e-18
10,-2.46503,2.59807e-18
10,-2.36013,2.7648500000000004e-18
10,-2.25524,2.8357e-18
10,-2.15034,2.8750700000000002e-18
10,-2.04545,3.0100700000000003e-18
10,-1.94056,3.23991e-18
10,-1.83566,3.4345100000000002e-18
10,-1.73077,3.5372e-18
10,-1.62587,3.6643600000000006e-18
10,-1.52098,3.9342500000000005e-18
10,-1.41608,4.27974e-18
10,-1.31119,4.5506500000000005e-18
10,-1.20629,4.7641e-18
10,-1.1014,5.09779e-18
10,-0.996501,5.6089800000000005e-18
10,-0.891606,6.1317500000000005e-18
10,-0.786712,6.555570000000001e-18
10,-0.681817,7.04044e-18
10,-0.576922,7.77354e-18
10,-0.472027,8.646920000000001e-18
10,-0.367132,9.43976e-18
10,-0.262237,1.02406e-17
10,-0.157342,1.13481e-17
10,-0.0524474,1.27592e-17
10,0.0524474,1.41723e-17
10,0.157342,1.55852e-17
10,0.262237,1.74027e-17
10,0.367132,1.97545e-17
10,0.472027,2.22759e-17
10,0.576922,2.48883e-17
10,0.681817,2.81446e-17
10,0.786712,3.23381e-17
10,0.891606,3.70421e-17
10,0.996501,4.21654e-17
10,1.1014,4.85464e-17
10,1.20629,5.67045e-17
10,1.31119,6.61578e-17
10,1.41608,7.69902e-17
10,1.52098,9.06491e-17
10,1.62587,1.0802e-16
10,1.73077,1.28661e-16
10,1.83566,1.53342e-16
10,1.94056,1.84799e-16
10,2.04545,2.24588e-16
10,2.15034,2.72744e-16
10,2.25524,3.32007e-16
10,2.36013,4.07762e-16
10,2.46503,5.03013e-16
10,2.56992,6.19902e-16
10,2.67482,7.66466e-16
10,2.77971,9.54036e-16
10,2.88461,1.19044e-15
10,2.9895,1.48704e-15
10,3.0944,1.86882e-15
10,3.19929,2.36724e-15
10,3.30419,3.01643e-15
10,3.40908,3.87539e-15
10,3.51398,5.04477e-15
10,3.61887,6.6606e-15
10,3.72377,8.91701e-15
10,3.82866,1.21342e-14
10,3.93356,1.68053e-14
10,4.03845,2.3634e-14
10,4.14335,3.36655e-14
10,4.24824,4.84483e-14
10,4.35314,7.05509e-14
10,4.45803,1.14665e-13
10,4.56293,8.90894e-14
10,4.66782,5.39085e-12
10,4.77272,5.07573e-10
10,4.87761,2.50252e-08
10,4.98251,9.05756e-07
10,5.0874,2.31528e-05
10,5.1923,0.000415391
10,5.29719,0.00524085
10,5.40209,0.0465041
10,5.50698,0.290174
10,5.61188,1.27323
10,5.71677,3.92868
10,5.82167,8.5246
10,5.92656,13.0073
10,6.03146,13.9569
10,6.13635,10.5312
10,6.24124,5.588
10,6.34614,2.08507
10,6.45103,0.547109
10,6.55593,0.100952
10,6.66082,0.0130988
10,6.76572,0.00119525
10,6.87061,7.67077e-05
10,6.97551,3.45872e-06
10,7.0804,1.09579e-07
10,7.1853,2.50168e-09
10,7.29019,3.87531e-11
10,7.39509,9.00277e-14
10,7.49998,1.14666e-13
10,7.60488,6.70787e-14
10,7.70977,4.46586e-14
10,7.81467,3.07204e-14
10,7.91956,2.11982e-14
10,8.02446,1.47157e-14
10,8.12935,1.03008e-14
10,8.23425,7.2853e-15
10,8.33914,5.20669e-15
10,8.44404,3.7602e-15
10,8.54893,2.74938e-15
10,8.65383,2.03764e-15
10,8.75872,1.52778e-15
10,8.86362,1.15776e-15
10,8.96851,8.88618e-16
10,9.07341,6.90697e-16
10,9.1783,5.41544e-16
10,9.2832,4.27962e-16
10,9.38809,3.41901e-16
10,9.49299,2.75738e-16
10,9.59788,2.23332e-16
10,9.70278,1.81779e-16
10,9.80767,1.49321e-16
10,9.91257,1.23442e-16
10,10.0175,1.02104e-16
10,10.1224,8.47328e-17
10,10.2272,7.09288e-17
10,10.3321,5.96207e-17
10,10.437,5.0007e-17
10,10.5419,4.20669e-17
10,10.6468,3.57146e-17
10,10.7517,3.03987e-17
10,10.8566,2.57638e-17
10,10.9615,2.19101e-17
