step,x,prob,trans_prob,refl_prob,norm_total,barrier_start,barrier_end,V0,barrier_start2,barrier_end2
0,0.0,0.0,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,0.400668,3.5443700000000004e-26,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,0.801336,1.75427e-25,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,1.202,7.93036e-25,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,1.60267,3.5046800000000004e-24,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,2.00334,1.51704e-23,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,2.40401,6.43144e-23,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,2.80467,2.67019e-22,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,3.20534,1.08558e-21,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,3.60601,4.32157e-21,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,4.00668,1.6844299999999998e-20,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,4.40735,6.427959999999999e-20,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,4.80801,2.40152e-19,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,5.20868,8.78362e-19,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,5.60935,3.14502e-18,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,6.01002,1.10236e-17,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,6.41068,3.7824e-17,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,6.81135,1.27041e-16,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,7.21202,4.17681e-16,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,7.61269,1.34421e-15,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,8.01336,4.23456e-15,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,8.41402,1.30575e-14,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,8.81469,3.94114e-14,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,9.21536,1.16437e-13,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,9.61603,3.36716e-13,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,10.0167,9.53105e-13,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,10.4174,2.6407e-12,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,10.818,7.16143e-12,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,11.2187,1.90099e-11,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,11.6194,4.93926e-11,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,12.02,1.25615e-10,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,12.4207,3.12697e-10,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,12.8214,7.6191e-10,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,13.222,1.81712e-09,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,13.6227,4.24195e-09,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,14.0234,9.69273e-09,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,14.424,2.16779e-08,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,14.8247,4.74729e-08,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,15.2254,1.01883e-07,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,15.626,2.14306e-07,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,16.0267,4.41815e-07,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,16.4274,8.92736e-07,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,16.828,1.768e-06,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,17.2287,3.43175e-06,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,17.6294,6.52871e-06,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,18.0301,1.21735e-05,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,18.4307,2.22475e-05,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,18.8314,3.98496e-05,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,19.2321,6.99592e-05,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,19.6327,0.000120377,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,20.0334,0.000203011,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,20.4341,0.000335564,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,20.8347,0.000543637,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,21.2354,0.000863221,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,21.6361,0.00134343,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,22.0367,0.00204921,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,22.4374,0.00306364,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,22.8381,0.0044892,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,23.2387,0.00644734,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,23.6394,0.00907555,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,24.0401,0.0125212,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,24.4407,0.0169317,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,24.8414,0.0224407,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,25.2421,0.029151,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,25.6427,0.0371152,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,26.0434,0.0463163,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,26.4441,0.0566496,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,26.8447,0.0679115,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,27.2454,0.0797944,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,27.6461,0.0918935,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,28.0467,0.103724,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,28.4474,0.114752,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,28.8481,0.124429,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,29.2487,0.132242,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,29.6494,0.137753,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,30.0501,0.140643,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,30.4508,0.140741,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,30.8514,0.138041,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,31.2521,0.132703,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,31.6528,0.125037,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,32.0534,0.115473,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
0,32.4541,0.104523,2.8413499999999997e-31,1.0,1.0,59.8998,62.9048,100,0,0
